Imitation 3,PRE_S,POST_S,PRE_RC,POST_RC,PRE_V,POST_V,PRE_LC,POST_LC,Interval
BMUCM_T1,-20.77,-51.09,-72.83,-31.69,NA,-72.76,-6.51,-1.24,Unison
BMUCM_T1,50.93,46.46,57.79,12.76,NA,-45.17,0.41,24.69,M2
BMUCM_T1,29.39,27.32,91.02,27.34,NA,4.59,-0.26,31.58,M3
BMUCM_T1,12.53,48.78,107.44,19.2,NA,25.28,-14.26,-1.14,P5
BMUCM_T1,0.34,82.05,100.56,33.89,-17.11,27.72,75.77,51.6,P5
BMUCM_T1,-28.7,35.7,59.18,36.16,11.6,-0.67,104.61,67.94,P4
BMUCM_T1,0.34,-21.86,-13.37,33.32,9.1,27.37,83.98,35.38,M3
BMUCM_T1,-36.99,-19.62,29.32,4.44,-2.81,-39.16,81.45,37.59,Unison
BMUCM_T1,-55.16,-81.64,-76.8,-60.7,NA,-57.53,-27.57,-44.53,Unison
BMUCM_T1,-25.22,-8.68,-54.65,-38.35,NA,-51.67,-13.57,-30.59,P5
BMUCM_T1,-6.52,4.5,-8.57,28.49,NA,-3.4,44.56,45.19,P4
BMUCM_T1,1.72,-49.75,-37.72,36.14,NA,5.63,52.98,9,M3
BMUCM_T1,-13.86,-0.99,35.56,-30.43,14.11,17.08,-0.4,20.51,P5
BMUCM_T1,-54.69,-18.93,-33.88,-19.06,-50.48,-63.93,-53.46,-27.17,Unison
BMUCM_T1,78.61,0.06,-24.29,32.04,3.95,37.92,-55.33,-24.51,M2
BMUCM_T1,43.92,37.78,15.25,21.1,61.39,48.08,92.28,-12.01,M3
BMUCM_T1,-54.39,-58.19,8.5,-74.57,-24.53,-32.2,3.12,-18.43,Unison
BMUCM_T1,-7.7,64.5,46.72,-18.88,-45.22,10.2,-20.17,-13.28,M3
BMUCM_T1,28.87,40.31,66.03,31.95,58.86,40.67,59.94,19.85,M2
BMUCM_T1,25.01,-2.81,-28.35,25.24,82.44,45.29,12.86,3.2,P5
BMUCM_T1,1.05,80.79,83.56,48.49,37.51,13.95,45.67,34.53,P5
BMUCM_T1,56.05,85.31,40.6,73.36,102.69,116.44,53.27,49.59,M3
BMUCM_T1,44.82,56.24,40.35,63.04,-18.25,15.73,72.49,38.19,P4
BMUCM_T1,0.93,44.67,32.49,26.41,5.53,33.23,-10.65,38.42,Unison
BMUCM_T2,51.35,-32.01,30.06,26.79,52.38,-64.09,-23.39,-46.53,Unison
BMUCM_T2,90.89,22.35,53.33,56.54,49.44,37.64,38.08,-5.11,M2
BMUCM_T2,54.22,23.06,6.92,41.58,28,43.62,3.54,9.52,M3
BMUCM_T2,50.91,31.03,46.97,49.41,48.25,33.65,20.72,54.62,P5
BMUCM_T2,69.29,30.25,53.94,48.68,49.32,30.23,2.72,21.1,P5
BMUCM_T2,10.8,21.47,17.8,0.57,10.35,-4.52,-15.09,-14.18,P4
BMUCM_T2,-15.13,23.28,13.77,-3.96,17.35,-15.39,13.24,-15.95,M3
BMUCM_T2,25.25,-0.2,19.37,12.59,111.06,-14.78,-19.46,-14.38,Unison
BMUCM_T2,NA,-1.97,57.62,59.68,116.43,-16.5,0.23,0.73,Unison
BMUCM_T2,NA,18.22,55.92,37.33,7.79,60.31,18.47,9.16,P5
BMUCM_T2,NA,12.06,41.26,26.72,5.27,27.65,2.85,20.19,P4
BMUCM_T2,NA,16.34,11.14,31.73,-10.67,57.57,11.67,-4.02,M3
BMUCM_T2,NA,7.46,20.03,50.95,29.66,11.4,20.19,-11.78,P5
BMUCM_T2,NA,8.32,28.04,-9.67,22.79,-15.64,2.28,-20.8,Unison
BMUCM_T2,NA,-9.35,20.9,21.59,64.15,9.52,-0.88,-4.97,M2
BMUCM_T2,NA,16.6,23.56,22.66,36.65,23.88,40.81,43.18,M3
BMUCM_T2,48.6,-4.86,46.22,26.99,56.15,-13.36,-9.05,8.26,Unison
BMUCM_T2,45.51,28.06,51.19,-133.8,44.66,24.29,3.79,36.31,M3
BMUCM_T2,27.59,-27.49,34.15,251.17,31.48,29.9,7.27,15.24,M2
BMUCM_T2,45.23,19.97,53.95,62.1,52,41.03,46.57,30.41,P5
BMUCM_T2,38.53,-16.37,63.21,49.62,38.8,11.04,-6.43,26.14,P5
BMUCM_T2,110.44,97.8,128.74,134.44,9.82,130.89,91.14,81.79,M3
BMUCM_T2,-59.9,-116.6,106.51,-68.51,4.68,-79.21,-118.05,-72.76,P4
BMUCM_T2,20.52,-14.8,88.94,22.31,38.15,13.37,-13.86,-6.88,Unison
BMUCM_02,47.92,12.35,-4.37,22.57,47.78,5.6,-5.12,-4.46,Unison
BMUCM_02,93.57,16.98,65.11,139.82,68.43,37.77,136,76.36,M2
BMUCM_02,46.37,9.79,-168.77,-166.8,26.45,22.49,-146.68,-159.53,M3
BMUCM_02,-20.59,-6.93,37.29,54.45,-39.41,-21.16,-14.87,-25.36,P5
BMUCM_02,27.66,56.91,60.33,56.55,29.31,-26.1,16.65,20.02,P5
BMUCM_02,1.01,57.04,2.3,48.57,34.71,4.37,1.25,16.08,P4
BMUCM_02,-8,-16.67,-56.14,1.6,-9.21,-21.32,-45.41,-18.88,M3
BMUCM_02,42.66,26.69,-5.27,29.57,43.3,-10.19,-22.47,58.19,Unison
BMUCM_02,18.76,63.96,-1.06,-6.53,78.57,107.05,13.75,23.43,Unison
BMUCM_02,14.12,-23.16,-13.51,-11.05,3.37,-28.3,0.78,-15.68,P5
BMUCM_02,37.94,11.88,-11.58,-13.08,20.39,14.86,-16.45,-9.26,P4
BMUCM_02,5.87,-13.29,-24.75,-15.73,-2.46,16.75,-39.17,14.82,M3
BMUCM_02,19.04,-6.05,-13.1,-14.24,43.41,-7.61,-35.55,17.38,P5
BMUCM_02,44.35,68.6,65.8,-10.94,68.95,9.93,21.85,60.35,Unison
BMUCM_02,24.8,87.66,28.47,-8.38,84.89,45.03,29.34,52.23,M2
BMUCM_02,-13.7,11.2,-20.34,-14.69,5.19,-7.34,-12.11,45.23,M3
BMUCM_02,64.89,29.56,19.24,36.19,-3.68,21.12,31.79,65.45,Unison
BMUCM_02,-40.5,-31.15,-38.93,-32.1,-23.49,-45.16,-26.73,-17.42,M3
BMUCM_02,5.3,12.72,22.27,12.1,36.82,33.4,45.31,54.16,M2
BMUCM_02,-24.2,-52.88,14.55,117.62,107.14,-90.9,-36.37,-8.54,P5
BMUCM_02,4.83,1.97,7.69,12.01,1.33,27.13,9.54,13.07,P5
BMUCM_02,-61.2,-20.38,-29.35,-49.17,-80.23,5.17,-46.94,-3.76,M3
BMUCM_02,-17.57,-4.84,6.53,1.4,-42.75,24.08,-19.45,7.59,P4
BMUCM_02,6.47,33.59,53.81,49.48,27.46,47.31,47.42,83.7,Unison
BMUCM_03,-5.89,NA,NA,-29.27,-23.31,13.07,-15.77,-7.16,Unison
BMUCM_03,-7.68,NA,NA,-42.74,-16.15,-27.47,-1.98,15.06,M2
BMUCM_03,-30.2,NA,NA,-15.22,-8.04,-36.79,-7.9,-20.24,M3
BMUCM_03,3.94,NA,NA,18.74,4.74,-3,14.8,3.13,P5
BMUCM_03,12,55.34,-8,28.26,-4.46,52.31,50.55,95.13,P5
BMUCM_03,25.29,17.23,-4.11,29.66,3.54,13.42,-25.69,30.13,P4
BMUCM_03,39.49,43.79,14.57,-1.2,26.93,45.48,-7.14,31.25,M3
BMUCM_03,0.17,-29.52,-1.22,-20.29,11.11,22.55,-1.66,-1.85,Unison
BMUCM_03,47.76,-44.5,-2.61,-36.4,-18.76,-52.97,2.3,5.56,Unison
BMUCM_03,37.39,9.68,-10.65,-11.61,-6.87,-10.11,-0.09,4.23,P5
BMUCM_03,29.09,35.16,10.33,8.74,-7.87,-63.51,18.91,-0.27,P4
BMUCM_03,60.25,5.24,26.15,6.39,1.51,-28.53,-11.57,-0.93,M3
BMUCM_03,41.1,74.45,69.12,NA,16.74,40.74,46.98,74.14,P5
BMUCM_03,-2.22,-20.06,-0.43,NA,1.79,-34.36,-102.89,-12.31,Unison
BMUCM_03,-31.04,-37.29,24.51,NA,3.37,-45.66,5.26,12.07,M2
BMUCM_03,-5.42,4.85,49.35,NA,24.38,26.43,40.5,-10.43,M3
BMUCM_03,10.04,-9.25,-27.58,-40.65,-45.47,-26.51,-22.15,-55.68,Unison
BMUCM_03,-7.69,32.3,46.02,13.83,22.8,-11.25,32.6,20.15,M3
BMUCM_03,31.11,-12.39,30.14,-12.01,5.81,-19.82,7.78,-52.99,M2
BMUCM_03,37.94,34.28,9.57,8.89,-3.17,16.6,16.96,-2.34,P5
BMUCM_03,53.86,48.04,16.91,9.72,14.86,39.09,74.04,56.97,P5
BMUCM_03,25.59,6.21,-3.82,-7.54,-34,-34.73,-11.52,-14.64,M3
BMUCM_03,26.48,13.65,6.37,-13.74,-38.83,-4.24,50.11,2.2,P4
BMUCM_03,-4.05,2.78,10.28,11.84,3.66,-23.06,-0.46,-20.16,Unison
BMUCM_04,36.21,92.22,-6.19,27.35,131.18,88.08,9.57,74.42,Unison
BMUCM_04,67.81,194.01,44.76,89.42,118.89,80.79,12.07,88.48,M2
BMUCM_04,-19.4,160.18,3.78,34.62,18.12,18.79,-1.25,25.69,M3
BMUCM_04,13.58,70.6,-7.79,1.87,-33.94,22.92,0.97,14.93,P5
BMUCM_04,84.32,82.3,52.03,12.56,14.75,55.91,44.48,45.98,P5
BMUCM_04,49.52,71.88,66.08,17.94,23.8,25.87,42.98,78.31,P4
BMUCM_04,12.2,-21.87,21.69,-8.17,12.23,18.59,37.58,36.82,M3
BMUCM_04,58.9,64.27,41.35,29.07,136.55,102.02,42.16,97.95,Unison
BMUCM_04,87.24,164.82,NA,14.01,100.75,90.17,-31.99,41.03,Unison
BMUCM_04,25.74,53.03,NA,-11.57,-3.4,17.06,22.9,-20.73,P5
BMUCM_04,119.32,94.44,NA,5.76,63.55,47.94,59.46,5.65,P4
BMUCM_04,70.81,59.45,NA,-10.95,42.01,73.22,52.67,2.25,M3
BMUCM_04,22.78,2.86,15.17,22.14,-13.97,32.65,32.17,10.86,P5
BMUCM_04,66.95,86.23,19.55,43.11,85.41,41.81,76.36,63.64,Unison
BMUCM_04,113.41,102.44,31.17,42.22,114.1,21.38,51.94,104.42,M2
BMUCM_04,68.89,24.21,7.93,-5.77,68.22,-8.55,12.31,16.14,M3
BMUCM_04,102.34,110.28,-17.37,59.7,170.79,130.32,75.34,69.31,Unison
BMUCM_04,6.95,14.64,24.22,-24.52,45.45,30.86,-27.67,1.46,M3
BMUCM_04,61.76,68.86,72.42,30.36,139.7,80.42,31.61,85.45,M2
BMUCM_04,34.91,29.91,46.12,32.2,12.99,39.89,5.42,22.49,P5
BMUCM_04,47.99,32.04,20.03,23.38,67.76,81.37,46.38,65.42,P5
BMUCM_04,40.5,54.61,19.96,30.28,15.74,55.11,11.17,41.51,M3
BMUCM_04,69.36,76.93,17.71,20.92,37.77,54.05,50.76,77.08,P4
BMUCM_04,69.09,92.06,-6.24,27.99,56.14,108.52,89.1,57.67,Unison
BMUCM_07,-14.15,41.8,18.62,11.77,4.89,-11.72,21.61,12.81,Unison
BMUCM_07,-0.69,155.93,17.91,15.14,46.44,8.52,60.3,18.06,M2
BMUCM_07,-15.87,110.79,-29.59,-12.14,-11.65,-20.2,5.69,-36.55,M3
BMUCM_07,42.38,63.3,-3.55,16.3,12.28,12.74,27.64,-2.07,P5
BMUCM_07,5.81,44.66,-10,37.01,15.32,-2.77,34.87,16.39,P5
BMUCM_07,8.67,66.7,-12.61,17.54,-10.03,-25.77,18.64,7,P4
BMUCM_07,-16.96,25.2,-31.7,33.47,-0.18,-21.88,13.94,2.27,M3
BMUCM_07,-0.91,33,-7.48,0.7,-28.6,-28.5,29.36,20.19,Unison
BMUCM_07,42.36,102.86,-28.3,-2.51,-17.94,-1.89,48.37,NA,Unison
BMUCM_07,7.55,88.18,4.13,18.88,16.87,-0.52,19.31,NA,P5
BMUCM_07,22.45,73.49,-5.14,8.34,16.27,17.82,32.79,NA,P4
BMUCM_07,36.49,81.8,4.3,5.43,-8.98,32.01,18.08,NA,M3
BMUCM_07,29.77,48.06,26.68,-31.65,34.97,52.33,10.65,6.5,P5
BMUCM_07,10,-15.14,-7.63,-7.89,5.2,-2.21,7.05,-33,Unison
BMUCM_07,9.73,52.82,-15.9,8.25,42.38,-4.88,-9.82,-56.24,M2
BMUCM_07,52.03,63.09,51.51,100.58,85.95,95.5,-6.77,22.43,M3
BMUCM_07,8.03,-18.84,-10.57,3.58,-2.16,14.48,4.98,-18.54,Unison
BMUCM_07,-116.04,-23.07,-82.67,-88.87,-75.42,-68.45,-109.13,-79.12,M3
BMUCM_07,-49.52,67.74,-35.87,-26.67,-47.84,-30.64,-79.87,-43.82,M2
BMUCM_07,-15.15,54.8,3.39,-10.09,-8.89,-6.06,-4.94,4.61,P5
BMUCM_07,34.85,44.31,46.14,-3.95,18.13,4.16,41.15,-3.93,P5
BMUCM_07,-1.4,24.99,-10.19,15.22,-23.96,7.77,-18.17,-31.73,M3
BMUCM_07,21.78,43.71,25.82,40.31,0.03,25.48,12.63,7.88,P4
BMUCM_07,11.54,26.25,17.62,24.36,3.38,0.12,34.26,27.89,Unison
BMUCM_08,736.94,746.8,51.98,-16.23,NA,638.72,740.45,15.92,Unison
BMUCM_08,60.04,118.81,85.14,110.55,NA,50.25,-46.11,106.55,M2
BMUCM_08,-360.26,-378.98,-8.74,-179.22,NA,-437.32,-474.21,-224.7,M3
BMUCM_08,-297.4,-196.46,44.28,22.84,NA,-323.49,-313.69,51.52,P5
BMUCM_08,-10.51,62.56,148.99,87.95,49.04,47.2,25.95,97.21,P5
BMUCM_08,-10.22,84.38,10.51,44.09,-31.51,-13.26,-45.25,17.4,P4
BMUCM_08,-135.07,65.01,-89.24,21.24,-160.02,-104.25,-19.03,-55.12,M3
BMUCM_08,27.34,98.48,82.64,200.08,99.19,134.55,71.63,24.18,Unison
BMUCM_08,-14.12,-24.16,65.86,-45.97,184.3,58.56,-41.02,-5.61,Unison
BMUCM_08,69.82,67.61,37.57,22.6,31.57,0.61,29.39,34.87,P5
BMUCM_08,80.87,97.78,74.04,24.54,12.38,49.45,25.95,54.35,P4
BMUCM_08,100.73,82.99,73.14,50.34,10.05,32.4,5.46,83.88,M3
BMUCM_08,30.92,42.7,193.02,78.26,108.29,90.51,26.31,49.47,P5
BMUCM_08,117.92,113.77,54.94,76.95,94.91,259.47,10.28,32.44,Unison
BMUCM_08,-224,-266.81,70.11,-253.41,-283.97,-155.76,-183.06,-301.29,M2
BMUCM_08,13.03,51.4,111.07,46.97,-15.31,100.41,33.98,106.35,M3
BMUCM_08,66.01,30.94,23.19,5.77,98.66,1.71,-51.44,7.93,Unison
BMUCM_08,94.77,79.38,22.32,0.48,32.23,-68.23,-6.01,26.78,M3
BMUCM_08,148.67,124.95,43.97,36.7,85.16,-3.23,6.62,118.64,M2
BMUCM_08,81.44,82.83,-7.19,60.1,89.38,24.25,16.93,66.15,P5
BMUCM_08,61.37,113.56,89.03,46.55,64.5,67.38,12.26,58.67,P5
BMUCM_08,62.64,128.21,74.15,28.27,70.23,98.32,-41.61,109.51,M3
BMUCM_08,26.24,110.77,98.21,76.54,38.33,-122.19,-30.1,-121.56,P4
BMUCM_08,24.85,5.88,250.67,157.3,179.7,795.05,7.48,36.86,Unison
BMUCM_10,52.86,29.42,42.86,29,48.75,74.54,67.41,75.96,Unison
BMUCM_10,10.53,-32.33,-19.31,-24.56,-9.78,-39.41,-18.98,-16.85,M2
BMUCM_10,-12.77,-25.9,0.17,-30.79,14.66,28.78,-24.35,-14.02,M3
BMUCM_10,-0.03,9.5,39.31,-35.53,22.29,9.17,-8.15,19.92,P5
BMUCM_10,-6.14,48.27,2.56,-10.71,58.99,72.26,-17.94,-21.34,P5
BMUCM_10,70.91,22.91,20.31,31.07,77.98,17.57,45.9,55.56,P4
BMUCM_10,13.03,78.43,12.38,27.1,69.66,21.7,61.68,55.53,M3
BMUCM_10,37.51,27.3,6.95,10.42,11.62,1.81,-2.89,18.69,Unison
BMUCM_10,95.46,48.54,71.28,5.52,62.37,38.62,35.98,23.86,Unison
BMUCM_10,-15.1,-44.47,-17.99,6.35,-12.17,-6.67,-24.4,-12.8,P5
BMUCM_10,74.75,58.2,45.91,35.67,67.94,81.47,43.98,36.77,P4
BMUCM_10,46.64,27.67,11.27,-14.59,42.81,42.78,63.91,14.99,M3
BMUCM_10,-6.08,12.48,-17.06,-32.24,57.09,29.74,5.77,-2.42,P5
BMUCM_10,51.94,29.14,14.12,17.2,-2.9,14.72,68.73,58.86,Unison
BMUCM_10,-17.98,-14,-24.98,-2.7,-36.3,-44.76,11.37,-6.53,M2
BMUCM_10,2.34,-39.35,-18.64,4.94,38.48,26.59,-15.31,17.66,M3
BMUCM_10,61.25,20.91,10.55,22.64,87.93,29.96,15.38,52.79,Unison
BMUCM_10,13.47,52.38,49.17,10.48,-3.23,-28.87,20.23,28.99,M3
BMUCM_10,36.91,46.51,40.97,62.51,0.63,20.63,82.64,30.71,M2
BMUCM_10,27.97,-10.71,-7.74,-50.66,-4.8,-30.26,3.21,-15.03,P5
BMUCM_10,8.17,12.64,40.95,-0.02,20.19,32.42,-10.56,-12.03,P5
BMUCM_10,-41.88,-11.8,4.64,-30.9,0.4,-12.78,-40.76,21.58,M3
BMUCM_10,33.74,23.5,37.6,-17.47,-28.62,31.41,-48.86,47.84,P4
BMUCM_10,30.77,38.44,-18.43,-16.79,22.63,6.61,-28.8,20.2,Unison
BMUCM_11,NA,55.39,-8.4,-13.91,12.07,-9.44,-30.91,NA,Unison
BMUCM_11,NA,24.99,12.93,13.01,26.72,11.87,13.45,NA,M2
BMUCM_11,NA,3.61,-37.35,-10.21,0.62,-0.27,-6.38,NA,M3
BMUCM_11,NA,11.67,20.8,19.05,12.1,26.02,7.56,NA,P5
BMUCM_11,-4.29,-11.97,15.79,2.85,-16.89,10.59,29.67,8.58,P5
BMUCM_11,-5.95,0.41,-5.26,1.57,-9.93,5.66,2.44,16.32,P4
BMUCM_11,11.99,2.69,-0.24,9.64,-6.94,7.75,25.61,23.84,M3
BMUCM_11,-0.73,17.76,0.97,58.67,10.39,20.65,17.22,7.86,Unison
BMUCM_11,-17.39,16.98,41.85,-20.42,-1.62,-9.51,0.64,NA,Unison
BMUCM_11,9.28,25.82,-19.42,12.6,0.01,-8.69,15.29,NA,P5
BMUCM_11,-11.08,1.05,-7.85,-13.55,-13.36,-3.27,0.32,NA,P4
BMUCM_11,18.51,23.54,-13.13,-1.44,-20.9,16.3,-2.52,NA,M3
BMUCM_11,25.74,NA,35.18,23.15,3.41,-11.78,4.78,-9.39,P5
BMUCM_11,21.95,NA,-34.46,-1.66,31.64,19.43,20.27,7.31,Unison
BMUCM_11,37.04,NA,-7.67,-10.99,22.24,15.99,17.49,24.99,M2
BMUCM_11,-11.09,NA,7.92,18.72,27.37,21.86,17.4,-9.35,M3
BMUCM_11,-25.01,-13.25,-5.52,-47.48,14.2,5.17,0.84,-17.45,Unison
BMUCM_11,45.81,2.02,4.29,0.76,12.42,10.64,27.88,-21.16,M3
BMUCM_11,31.3,25.41,-25.89,-19.2,29.47,-1.54,12.2,16.74,M2
BMUCM_11,-8.43,11.89,-8.8,0.34,5.77,4.49,8.97,-6.2,P5
BMUCM_11,-6.02,14.86,34.04,9.63,-19.83,11.22,47.24,22.96,P5
BMUCM_11,-364.2,-359.9,-370.05,-380.05,-371.82,-381.46,-364.03,-313.38,M3
BMUCM_11,-84.24,-97.1,-82.01,-90.15,-91.33,-92.65,-72.4,-97.67,P4
BMUCM_11,2.55,8.02,4.83,11.85,10.73,1.53,25.03,-10.78,Unison
BMUCM_12,62.55,76.76,32.78,65.45,71.85,47.6,31.79,44.51,Unison
BMUCM_12,65.8,104.65,78.05,55.17,28.85,54.42,53.95,54.14,M2
BMUCM_12,53.65,63.24,40.17,75.86,-7.7,24.67,26.86,80.59,M3
BMUCM_12,45.22,41.54,28.23,48.37,6.79,29.01,12.76,42.94,P5
BMUCM_12,67.91,36.04,26.55,24.72,81.22,61.4,55.38,43.03,P5
BMUCM_12,23.08,-58.5,-57.57,-47.98,-74.98,22.53,48.78,10.66,P4
BMUCM_12,-44.03,104.17,-142.34,-94.04,58.11,-5.25,-90.89,-64.25,M3
BMUCM_12,92.02,79.47,37.22,72.78,83.15,71.01,4.78,12.88,Unison
BMUCM_12,66.01,58.02,NA,101.57,86.87,56.57,37.34,27.43,Unison
BMUCM_12,25.32,-14.65,NA,19.61,32.25,6.56,38.62,39.49,P5
BMUCM_12,78.33,-58.87,NA,12.1,17.03,0.72,-7.22,30.32,P4
BMUCM_12,41.59,128.05,NA,2.04,4.32,2.17,-6.46,29.72,M3
BMUCM_12,-6.73,36.61,-3.87,13.98,-36.57,4.25,62.26,3.53,P5
BMUCM_12,46.42,62.04,46.96,93.89,69.31,111.38,4.3,38.19,Unison
BMUCM_12,51.37,85.86,13.15,95.04,71.09,88.01,14.05,49.28,M2
BMUCM_12,53.6,76.09,10.72,59.81,25.62,71.91,-5.26,44.76,M3
BMUCM_12,75.84,53,-64.66,121.09,-20.19,115.75,-39.75,3.69,Unison
BMUCM_12,-119.6,-92.18,-87.4,-85.13,-167.1,-80.35,-111.2,-60.02,M3
BMUCM_12,187.9,216.39,209.12,250.97,131.86,225.03,216.2,246.96,M2
BMUCM_12,13.32,70.33,4.41,51.48,68.25,36.47,11.86,34.76,P5
BMUCM_12,6.79,89.32,41.53,26.73,30.12,53.58,84.64,79.23,P5
BMUCM_12,8.37,-37.4,37.93,-82.17,-73.45,-40.35,-93.29,-4.95,M3
BMUCM_12,41.02,-18.36,56.17,-46.53,-10.14,-13.48,-23.49,111.37,P4
BMUCM_12,115.12,38.77,12.44,76.76,39.39,64.19,17.77,50.5,Unison
BMUCM_13,-17.68,-60.14,4.09,5.85,NA,NA,NA,NA,Unison
BMUCM_13,175.93,6.6,30.86,-19.42,NA,NA,NA,NA,M2
BMUCM_13,83.75,-9.37,47.48,-92.54,NA,NA,NA,NA,M3
BMUCM_13,25.1,31.93,33.8,22.91,NA,NA,NA,NA,P5
BMUCM_13,39.18,38.26,70.02,63.05,NA,NA,NA,NA,P5
BMUCM_13,8.92,12.28,55.62,39.61,NA,NA,NA,NA,P4
BMUCM_13,19.65,12.54,44.87,36.4,NA,NA,NA,NA,M3
BMUCM_13,44.56,35.1,22.66,48,NA,NA,NA,NA,Unison
BMUCM_13,-0.15,-10.04,52.09,41.52,NA,NA,NA,NA,Unison
BMUCM_13,-2.07,11.38,4.66,2.23,NA,NA,NA,NA,P5
BMUCM_13,-16.25,-1.94,-12.77,-30.92,NA,NA,NA,NA,P4
BMUCM_13,0.03,-0.82,2.91,-28.51,NA,NA,NA,NA,M3
BMUCM_13,47.4,41.14,30.21,15.62,NA,NA,NA,NA,P5
BMUCM_13,-12.1,21.23,3.17,0.7,NA,NA,NA,NA,Unison
BMUCM_13,109.47,32.94,12.1,9.97,NA,NA,NA,NA,M2
BMUCM_13,-2.32,31.3,60.98,39.68,NA,NA,NA,NA,M3
BMUCM_13,-13.13,-5.54,6.97,4.37,NA,NA,NA,NA,Unison
BMUCM_13,19.39,-6.15,-117.98,-149.89,NA,NA,NA,NA,M3
BMUCM_13,19.39,-2.23,-179.59,-205.12,NA,NA,NA,NA,M2
BMUCM_13,24.15,39.95,14.9,19.31,NA,NA,NA,NA,P5
BMUCM_13,17.31,29.27,71.79,55.07,NA,NA,NA,NA,P5
BMUCM_13,-367.41,-365.02,18.29,124.57,NA,NA,NA,NA,M3
BMUCM_13,-101.82,-248.91,21.46,-54,NA,NA,NA,NA,P4
BMUCM_13,221.96,33.27,16.5,0.52,NA,NA,NA,NA,Unison